MISPAR RECHEV|TAARICH HAFAKAT TAG|SUG TAV
19776|20181112|1
161101|20190826|1
190946|20190826|1
190991|20190826|1
214407|20190812|1
232484|20190826|1
250916|20190826|1
260367|20190826|1
291597|20200109|1
295181|20190620|1
296891|20200109|1
300537|20190903|1
302380|20200109|1
302689|20190826|1
316005|20200109|1
320762|20190530|1
321319|20190826|1
377821|20190826|2
377852|20190826|1
379177|20200109|1
405700|20190826|1
411653|20191125|1
419899|20200109|1
436434|20190826|2
436988|20150611|1
437422|20190826|2
521132|20190826|1
525266|20190404|1
526468|20190826|1
603713|20190826|1
620324|20190826|1
643777|20180920|1
647018|20200109|1
651553|20180104|1
676500|20200106|1
753860|20190515|1
753860|20191119|1
758176|20190723|2
765481|20190826|1
781838|20200101|1
788749|20190826|1
836742|20200106|1
855444|20190825|2
876583|20191117|1
893033|20190605|2
894219|20180304|1
895585|20190826|2
900437|20180530|1
902759|20180903|1
971359|20190410|1
971701|20190826|1
971989|20191231|1
973746|20180816|1
1000014|20190826|1
1000060|20200106|1
1000062|20170912|1
1000131|20191002|1
1000231|20190826|1
1000260|20190826|1
1000272|20190826|1
1000337|20190826|1
1000362|20190826|1
1000428|20190826|1
1000463|20190826|1
1000511|20190826|1
1000531|20190902|1
1000538|20190505|1
1000538|20181230|1
1000631|20190826|1
1000668|20190624|1
1000711|20190214|1
1000729|20161109|1
1000737|20191201|1
1000739|20190818|1
1000760|20171225|1
1000764|20180225|1
1000828|20190904|1
1000831|20190306|1
1000864|20190826|1
1000911|20190826|1
1000938|20181106|1
1000972|20191117|1
1001060|20191210|2
1001131|20190826|1
1001232|20190826|1
1001311|20190826|1
1001362|20180212|1
1001538|20190826|1
1001560|20190826|1
1001637|20190711|1
1001638|20190313|1
1001932|20190826|1
1002035|20190826|1
1002151|20200106|1
1002231|20190826|1
1002360|20190826|1
1002432|20190826|1
1002462|20191029|1
1002685|20190127|1
1002735|20190826|1
1002928|20191124|1
1002937|20190826|1
1002952|20190826|2
1003110|20190826|1
1003110|20191127|1
1003134|20191119|1
1003185|20190826|1
1003234|20191208|1
1003237|20190827|1
1003328|20190805|1
1003364|20190324|1
1003385|20190909|1
1003487|20190826|1
1003538|20190826|2
1003562|20200106|2
1003568|20190826|1
1003652|20190826|1
1003711|20171018|1
1003731|20190826|1
1003732|20191119|1
1003734|20190826|1
1003811|20171101|1
1003837|20190826|1
